run_id,experiment_id,run_number,dag_id,task_id,run_ts,status,hyperparameters,metrics,tags
100,10,1,holodeck_minutes_prediction,train,2026-02-10 09:30:00,COMPLETED,"{""model_type"": ""LinearRegression"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier""], ""enriched"": false, ""test_size"": 0.2, ""random_state"": 42}","{""rmse"": 98.55275257216992, ""mae"": 80.09178642081154, ""r2"": 0.42941652656388984, ""train_size"": 24582, ""test_size"": 6146}","{""iteration"": ""baseline \u2013 3 raw features"", ""enriched"": false}"
101,10,2,holodeck_minutes_prediction,train,2026-06-12 06:45:44.887887,COMPLETED,"{""model_type"": ""DecisionTreeRegressor"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier""], ""enriched"": false, ""test_size"": 0.2, ""random_state"": 42, ""max_depth"": 2}","{""rmse"": 90.96422836332593, ""mae"": 72.1240308115034, ""r2"": 0.5194828406594378, ""train_size"": 24582, ""test_size"": 6146}","{""enriched"": false, ""model_type"": ""DecisionTreeRegressor""}"
102,10,3,holodeck_minutes_prediction,train,2026-06-12 06:45:46.983725,COMPLETED,"{""model_type"": ""LinearRegression"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier""], ""enriched"": false, ""test_size"": 0.2, ""random_state"": 42}","{""rmse"": 98.464122623743, ""mae"": 80.04259027909968, ""r2"": 0.4279895126637002, ""train_size"": 24582, ""test_size"": 6146}","{""enriched"": false, ""model_type"": ""LinearRegression""}"
103,10,4,holodeck_minutes_prediction,train,2026-06-12 06:45:48.622785,COMPLETED,"{""model_type"": ""Ridge"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier""], ""enriched"": false, ""test_size"": 0.2, ""random_state"": 42, ""alpha"": 10.0}","{""rmse"": 97.33858689027527, ""mae"": 78.98964879817612, ""r2"": 0.4383646992990645, ""train_size"": 24582, ""test_size"": 6146}","{""enriched"": false, ""model_type"": ""Ridge""}"
104,10,5,holodeck_minutes_prediction,train,2026-06-12 06:47:08.048279,COMPLETED,"{""model_type"": ""DecisionTreeRegressor"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier"", ""is_business"", ""is_gold"", ""is_silver"", ""has_promo"", ""has_children"", ""child_ratio"", ""is_gemini"", ""is_claude"", ""is_chatgpt"", ""is_llama"", ""is_high_orbit"", ""is_low_orbit"", ""is_all_inclusive"", ""is_budget_plan"", ""c_gemini_highorbit_allinc_biz""], ""enriched"": true, ""test_size"": 0.2, ""random_state"": 42, ""max_depth"": 2}","{""rmse"": 85.96313964694949, ""mae"": 65.99014031181795, ""r2"": 0.5714725356735015, ""train_size"": 49164, ""test_size"": 12292}","{""enriched"": true, ""model_type"": ""DecisionTreeRegressor""}"
105,10,6,holodeck_minutes_prediction,train,2026-06-12 06:47:11.234830,COMPLETED,"{""model_type"": ""LinearRegression"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier"", ""is_business"", ""is_gold"", ""is_silver"", ""has_promo"", ""has_children"", ""child_ratio"", ""is_gemini"", ""is_claude"", ""is_chatgpt"", ""is_llama"", ""is_high_orbit"", ""is_low_orbit"", ""is_all_inclusive"", ""is_budget_plan"", ""c_gemini_highorbit_allinc_biz""], ""enriched"": true, ""test_size"": 0.2, ""random_state"": 42}","{""rmse"": 68.32253299731276, ""mae"": 52.330546319852914, ""r2"": 0.7293038734728572, ""train_size"": 49164, ""test_size"": 12292}","{""enriched"": true, ""model_type"": ""LinearRegression""}"
106,10,7,holodeck_minutes_prediction,train,2026-06-12 06:47:14.284865,COMPLETED,"{""model_type"": ""Ridge"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier"", ""is_business"", ""is_gold"", ""is_silver"", ""has_promo"", ""has_children"", ""child_ratio"", ""is_gemini"", ""is_claude"", ""is_chatgpt"", ""is_llama"", ""is_high_orbit"", ""is_low_orbit"", ""is_all_inclusive"", ""is_budget_plan"", ""c_gemini_highorbit_allinc_biz""], ""enriched"": true, ""test_size"": 0.2, ""random_state"": 42, ""alpha"": 10.0}","{""rmse"": 68.35590304434447, ""mae"": 52.34897025269542, ""r2"": 0.72903938244602, ""train_size"": 49164, ""test_size"": 12292}","{""enriched"": true, ""model_type"": ""Ridge""}"
107,10,8,holodeck_minutes_prediction,train,2026-06-12 06:47:21.465910,COMPLETED,"{""model_type"": ""GradientBoostingRegressor"", ""features"": [""passengers"", ""trip_length"", ""base_multiplier"", ""is_business"", ""is_gold"", ""is_silver"", ""has_promo"", ""has_children"", ""child_ratio"", ""is_gemini"", ""is_claude"", ""is_chatgpt"", ""is_llama"", ""is_high_orbit"", ""is_low_orbit"", ""is_all_inclusive"", ""is_budget_plan"", ""c_gemini_highorbit_allinc_biz""], ""enriched"": true, ""test_size"": 0.2, ""random_state"": 42, ""n_estimators"": 200, ""max_depth"": 10}","{""rmse"": 64.84432400225052, ""mae"": 48.844922150690415, ""r2"": 0.7561638696667379, ""train_size"": 49164, ""test_size"": 12292}","{""enriched"": true, ""model_type"": ""GradientBoostingRegressor""}"
108,11,1,space_dessert_classification,train,2026-02-11 10:30:00,COMPLETED,"{""model_type"": ""RandomForestClassifier"", ""n_estimators"": 20, ""max_depth"": 2, ""features"": [""passengers"", ""trip_length"", ""base_multiplier""], ""enriched"": false, ""random_state"": 42}","{""accuracy"": 0.504245283018868, ""f1_weighted"": 0.3966019278813346, ""train_size"": 33916, ""test_size"": 8480}","{""iteration"": ""baseline \u2013 3 raw features"", ""enriched"": false}"
109,11,2,space_dessert_classification,train,2026-06-12 06:47:48.572081,COMPLETED,"{""model_type"": ""RandomForestClassifier"", ""n_estimators"": 200, ""max_depth"": 15, ""random_state"": 42, ""features"": [""passengers"", ""trip_length"", ""base_multiplier"", ""has_children"", ""child_ratio"", ""has_promo"", ""is_business"", ""is_gold"", ""is_silver"", ""is_gemini"", ""is_claude"", ""is_chatgpt"", ""is_llama"", ""is_high_orbit"", ""is_low_orbit"", ""is_all_inclusive"", ""is_budget_plan"", ""c_gemini_highorbit_allinc_biz"", ""c_chatgpt_gold_kids"", ""c_llama_loworbit_budget_promo"", ""c_claude_highorbit_allinc_nokids"", ""c_llama_loworbit_budget_nogold""], ""enriched"": true}","{""accuracy"": 0.7030660377358491, ""f1_weighted"": 0.6859211007151196, ""train_size"": 33916, ""test_size"": 8480}","{""enriched"": true}"
